SMILES,Texpi
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,298
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,310
CCC(=O)C,303
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,310
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,310
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,310
CCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,310
CCC=CCC=CCC=CCCCCCCCC(=O)O,310
CCC1=CC=C(C=C1)O,298
CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO,298
CCCCC(CC)COC(=O)C=C,305
CCCCC(CC)COC(=O)C=C,305
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,310
CCCCC1=CC=C(C=C1)O,305
CCCCCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,310
CCCCCCCCC=CCCCCCCCC(=O)O,310
CCCCCCCCCC(=O)O,310
CCCCCCCCCCO,298
CCCCCCCCCCO,310
CCCCCCCCCCO,310
CCCCCCCCCCO,310
CCCCCCCCCCO,310
CCCCCCCCCCO,310
CCCCCCCCCCO,298
CCCCCCCCCCO,310
CCCCCCCCCCO,308
CCCCCCCCCO,298
CCCCCCCCCO,310
CCCCCCCCO,298
CCCCCCCCO,303
CCCCCCCCO,298
CCCCCCCCO,310
CCCCCCCCO,308
CCCCCCCCOC(=O)C1=CC=C(C=C1)O,310
CCCCCCCCOC(=O)C1=CC=C(C=C1)O,310
CCCCCCCCOC(=O)C1=CC=C(C=C1)O,310
CCCCCCCCOC(=O)C1=CC=C(C=C1)O,310
CCCCCCCCOC(=O)C1=CC=C(C=C1)O,310
CCCCCCCO,303
CCCCCCCO,298
CCCCCCCO,310
CCCCCCO,298
CCCCCCO,310
CCCCCCO,308
CCCCCO,298
CCCCCO,310
CCCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,310
CCCCO,303
CCCCO,298
CCCCO,298
CCCCO,298
CCCCO,310
CCCCO,308
CCCCOC(=O)C1=CC=C(C=C1)O,310
CCCCOC(=O)C1=CC=C(C=C1)O,305
CCCCOCCO,310
CCCCOCCO,310
CCCCOCCO,310
CCCCOCCO,310
CCCCOCCO,310
CCCCOCCOCCO,305
CCCCOCCOCCO,305
CCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,310
CCCO,303
CCCO,298
CCCO,310
CCCOC(=O)C1=CC=C(C=C1)O,310
CCCOC(=O)C1=CC=C(C=C1)O,310
CCCOC(=O)C1=CC=C(C=C1)O,310
CCCOC(=O)C1=CC=C(C=C1)O,310
CCCOC(=O)C1=CC=C(C=C1)O,310
CCCOC(=O)C1=CC=C(C=C1)O,310
CCCOC(=O)C1=CC=C(C=C1)O,305
CCCOC(=O)C1=CC=C(C=C1)O,305
CCCOC1=CC=C(C=C1)O,305
CCCOC1=CC=C(C=C1)O,305
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,298
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,298
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,298
CCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,310
CCO,298
CCO,310
CCO,308
CCOC(=O)C=CC(=O)OCC,305
CCOC(=O)C=CC(=O)OCC,305
CCOC(=O)C1=CC=CC=C1C(=O)OCC,310
CCOC(=O)C1=CN=CC=C1,310
CCOC(=O)C1=CN=CC=C1,310
