Compound_Name,Canonical_SMILES,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Low_Source_Data_Row,High_Source_Data_Row,Low_Reference,High_Reference,Low_DOI,High_DOI,Differing_Condition_Count,Differing_Conditions,Low_skin source type,High_skin source type,Low_skin source site,High_skin source site,Low_used layer,High_used layer,Low_skin preparation,High_skin preparation,Low_storage temperature (°C),High_storage temperature (°C),Low_storage duration (days),High_storage duration (days),Low_neat,High_neat,Low_donor/skin surface temperature (°C),High_donor/skin surface temperature (°C),Low_donor pH,High_donor pH,Low_donor type,High_donor type,Low_acceptor temperature (°C),High_acceptor temperature (°C),Low_acceptor pH,High_acceptor pH,Low_acceptor type,High_acceptor type,Low_cell type,High_cell type
Ethylene glycol mono methyl ether acetate,COCCOC(C)=O,2,-6.63700000,-6.29900000,0.33800000,2.17770977,0.00000000,338,333,"Venier, 2004","Venier, 2004",10.1016/j.tiv.2004.03.004,10.1016/j.tiv.2004.03.004,1,neat,Surgery,Surgery,abdomen,abdomen,"epidermis, dermis","epidermis, dermis",fat removed,fat removed,-25,-25,120,120,1,0,unknown,unknown,unknown,unknown,unknown,unknown,32,32,unknown,unknown,NaCl solution,NaCl solution,Franz cell,Franz cell
"2,4-Dichlorophenol",Oc1ccc(Cl)cc1Cl,2,-5.06500000,-4.77800000,0.28700000,1.93642196,0.00263319,54,206,"Buist, 2010","Roberts, 1977",10.1016/j.yrtph.2010.02.008,10.1111/j.2042-7158.1977.tb11434.x ,7,skin source type | skin preparation | storage temperature (°C) | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | cell type,unknown,Cadaver,abdomen,abdomen,epidermis,epidermis,prepared with NaBr solution,exposure to ammonia fumes,-80,unknown,unknown,unknown,0,0,unknown,25,unknown,unknown,"NaCl, sodium azide",unknown,unknown,25,unknown,unknown,unknown,unknown,unknown,Pyrex cell
Aldosterone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,3,-8.07900000,-7.79300000,0.28600000,1.93196832,0.00000000,183,133,"Mitragotri, 2000","Johnson, 1995",10.1023/A:1007547809430,10.1002/jps.2600840922,8,skin source type | skin source site | storage temperature (°C) | storage duration (days) | donor pH | donor type | acceptor pH | acceptor type,unknown,Cadaver,unknown,"abdomen, chest, back",epidermis,epidermis,heat separation,heat separation,unknown,5,unknown,7,0,0,unknown,unknown,7.4,unknown,PBS,unknown,unknown,unknown,7.4,unknown,PBS,unknown,Glass diffusion cell,Glass diffusion cell
1-Propanol,CCCO,5,-6.55600000,-6.30100000,0.25500000,1.79887092,0.03608875,41,457,"Blank, 1964","Scheuplein, 1973",10.1038/jid.1964.174,10.1111/1523-1747.ep12723090,9,used layer | skin preparation | storage temperature (°C) | neat | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | acceptor type | cell type,Cadaver,Cadaver,abdomen,abdomen,"epidermis, dermis",dermis,fat removed,heat separation,unknown,4,unknown,unknown,0,1,22,25,unknown,unknown,NaCl solution,unknown,22,unknown,unknown,unknown,NaCl solution,Water,unknown,Pyrex cell
Ethylene glycol mono isopropyl ether,CC(C)OCCO,2,-7.12500000,-6.91300000,0.21200000,1.62929603,0.00000000,337,332,"Venier, 2004","Venier, 2004",10.1016/j.tiv.2004.03.004,10.1016/j.tiv.2004.03.004,1,neat,Surgery,Surgery,abdomen,abdomen,"epidermis, dermis","epidermis, dermis",fat removed,fat removed,-25,-25,120,120,1,0,unknown,unknown,unknown,unknown,unknown,unknown,32,32,unknown,unknown,NaCl solution,NaCl solution,Franz cell,Franz cell
Butyl p-aminobenzoate,CCCCOC(=O)c1ccc(N)cc1,2,-4.60700000,-4.41000000,0.19700000,1.57398286,0.00000000,234,439,"Roy, 1993","Roy, 1993",10.1002/jps.2600821217,10.1002/jps.2600821217,2,used layer | skin preparation,Cadaver,Cadaver,thigh,thigh,"epidermis, dermis","epidermis, dermis without stratum corneum",dermatomed 300um,"dermatomed, tape-stripped",4,4,unknown,unknown,0,0,25,25,unknown,unknown,unknown,unknown,25,25,unknown,unknown,unknown,unknown,Flow through cell,Flow through cell
Chlorocresol,Cc1c(O)cccc1Cl,2,-5.00000000,-4.81600000,0.18400000,1.52756606,0.02594031,361,218,"Zhang, 2009","Roberts, 1977",10.1007/s11095-009-9912-4,10.1111/j.2042-7158.1977.tb11434.x ,10,skin source type | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor type | cell type,Abdominoplasty,Cadaver,abdomen,abdomen,epidermis,epidermis,heat separation,exposure to ammonia fumes,-20,unknown,90,unknown,0,0,32,25,7.4,unknown,PBS,unknown,32,25,unknown,unknown,PBS with ethanol,unknown,Franz cell,Pyrex cell
1-Heptanol,CCCCCCCO,4,-5.15800000,-4.98100000,0.17700000,1.50314197,0.07512967,446,252,"Scheuplein, 1973","Scheuplein, 1967",10.1111/1523-1747.ep12723090,10.1038/jid.1967.11,9,skin source type | skin source site | used layer | skin preparation | storage temperature (°C) | donor/skin surface temperature (°C) | acceptor temperature (°C) | acceptor type | cell type,Cadaver,unknown,abdomen,unknown,dermis,epidermis,heat separation,unknown,4,unknown,unknown,unknown,0,0,25,30,unknown,unknown,unknown,unknown,unknown,30,unknown,unknown,Water,unknown,Pyrex cell,unknown
Benzene,c1ccccc1,2,-4.51100000,-4.35200000,0.15900000,1.44211535,0.01014290,47,169,"Blank, 1985","Mitragotri, 1995",10.1111/1523-1747.ep12277325,10.1002/jps.2600840607,6,skin source site | storage duration (days) | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | acceptor type,Cadaver,Cadaver,abdomen,"abdomen, back",epidermis,epidermis,heat separation,heat separation,4,4,unknown,7,0,0,31,25,unknown,unknown,NaCl solution,PBS,unknown,25,unknown,unknown,NaCl solution,PBS,Glass diffusion cell,Glass diffusion cell
Aspartic acid,NC(CC(=O)O)C(=O)O,2,-7.58500000,-7.43200000,0.15300000,1.42232879,0.00000000,315,314,"Sznitowska, 1993","Sznitowska, 1993",10.1016/0378-5173(93)90321-6,10.1016/0378-5173(93)90321-6,1,donor pH,Cadaver,Cadaver,thigh,thigh,"epidermis, dermis","epidermis, dermis",dermatomed 500um,dermatomed 500um,-20,-20,unknown,unknown,0,0,unknown,unknown,7.3,3.4,NaCl solution,NaCl solution,37,37,7.3,7.3,NaCl solution,NaCl solution,Glass diffusion cell,Glass diffusion cell
