Variability_Rank,Canonical_SMILES,Compound_Name,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Mean,Experimental_Median,Experimental_SD,Predicted_Min,Predicted_Max,Condition_Signatures,References,DOIs,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Variability_Band
67,Oc1ccccc1-c1ccccc1,2-Phenylphenol,1,-5.29400000,-5.29400000,-5.29400000,-5.29400000,,-4.81856175,-4.81856175,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
68,Cc1ccc(O)cc1C,"3,4-Xylenol",1,-5.00000000,-5.00000000,-5.00000000,-5.00000000,,-5.02496825,-5.02496825,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
69,Nc1ccc(O)c([N+](=O)[O-])c1,4-Amino-2-Nitrophenol,1,-7.62200000,-7.62200000,-7.62200000,-7.62200000,,-7.23604440,-7.23604440,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
70,Nc1ccc(Cl)c(N)c1,4-Chloro-m-Phenylenediamine,1,-6.23400000,-6.23400000,-6.23400000,-6.23400000,,-6.53106253,-6.53106253,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
71,N#Cc1ccc(O)cc1,4-Cyanophenol,1,-5.73100000,-5.73100000,-5.73100000,-5.73100000,,-5.99638997,-5.99638997,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
72,OCc1ccc(O)cc1,4-Hydroxybenzyl alcohol,1,-6.25500000,-6.25500000,-6.25500000,-6.25500000,,-6.22689133,-6.22689133,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
73,NC(=O)Cc1ccc(O)cc1,4-Hydroxyphenylacetamide,1,-6.90300000,-6.90300000,-6.90300000,-6.90300000,,-6.94833267,-6.94833267,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
74,O=C(O)Cc1ccc(O)cc1,4-Hydroxyphenylacetic acid,1,-6.15800000,-6.15800000,-6.15800000,-6.15800000,,-5.72637179,-5.72637179,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
75,CCCOc1ccc(O)cc1,4-Propoxyphenol,1,-5.38000000,-5.38000000,-5.38000000,-5.38000000,,-5.38214544,-5.38214544,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
76,NCC(=O)CCC(=O)O,5-Aminolevulinic acid,1,-7.71100000,-7.71100000,-7.71100000,-7.71100000,,-7.28233296,-7.28233296,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
77,O=c1[nH]cc(F)c(=O)[nH]1,5-Fluorouracil,1,-8.01500000,-8.01500000,-8.01500000,-8.01500000,,-8.27467177,-8.27467177,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
78,CC(=O)O,Acetic acid,1,-6.07900000,-6.07900000,-6.07900000,-6.07900000,,-6.35939149,-6.35939149,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
79,CC(=O)Oc1ccccc1C(=O)O,Acetylsalicylic Acid,1,-5.69600000,-5.69600000,-5.69600000,-5.69600000,,-5.80135390,-5.80135390,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
80,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,Acyclovir,1,-7.07900000,-7.07900000,-7.07900000,-7.07900000,,-6.88129809,-6.88129809,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
81,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,Amobarbital,1,-6.20100000,-6.20100000,-6.20100000,-6.20100000,,-6.18206863,-6.18206863,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
82,CC(N)Cc1ccccc1,Amphetamine,1,-4.59200000,-4.59200000,-4.59200000,-4.59200000,,-4.98612741,-4.98612741,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
83,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,Atenolol,1,-7.85700000,-7.85700000,-7.85700000,-7.85700000,,-7.55318636,-7.55318636,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
84,CCC1(CC)C(=O)NC(=O)NC1=O,Barbital,1,-7.50900000,-7.50900000,-7.50900000,-7.50900000,,-7.50766200,-7.50766200,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
85,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,Betamethasone-17-valerate,1,-6.49600000,-6.49600000,-6.49600000,-6.49600000,,-6.46176722,-6.46176722,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
86,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,Bisoprolol Fumarate,1,-7.12500000,-7.12500000,-7.12500000,-7.12500000,,-6.97965237,-6.97965237,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
87,[Na+].[Na+].[O-]B1OB2OB([O-])OB(O1)O2,Borax,1,-7.32600000,-7.32600000,-7.32600000,-7.32600000,,-6.79743137,-6.79743137,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
88,OB(O)O,Boric acid,1,-7.19900000,-7.19900000,-7.19900000,-7.19900000,,-7.22136663,-7.22136663,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
89,O=C(O)CBr,Bromoacetic acid,1,-6.41000000,-6.41000000,-6.41000000,-6.41000000,,-5.98336273,-5.98336273,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
90,O=C(O)C(Cl)Br,Bromochloroacetic acid,1,-6.35200000,-6.35200000,-6.35200000,-6.35200000,,-5.96603700,-5.96603700,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
91,ClC(Cl)Br,Bromodichloromethane,1,-4.30100000,-4.30100000,-4.30100000,-4.30100000,,-4.88703062,-4.88703062,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
92,CCCCOC(=O)c1ccc(O)cc1,Butyl 4-hydroxybenzoat,1,-4.53800000,-4.53800000,-4.53800000,-4.53800000,,-4.64075240,-4.64075240,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
93,CCCCOC(=O)c1cccnc1,Butyl nicotinate,1,-5.33500000,-5.33500000,-5.33500000,-5.33500000,,-5.07542862,-5.07542862,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
94,Oc1ccccc1O,Catechol,1,-6.06600000,-6.06600000,-6.06600000,-6.06600000,,-6.11374250,-6.11374250,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
95,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1.Cl,Celiprolol Hydrochloride,1,-6.78500000,-6.78500000,-6.78500000,-6.78500000,,-6.25949343,-6.25949343,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
96,OC(O)C(Cl)(Cl)Cl,Chloral hydrate,1,-5.96500000,-5.96500000,-5.96500000,-5.96500000,,-6.34450184,-6.34450184,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
97,O=C(O)CCl,Chloroacetic acid,1,-6.51500000,-6.51500000,-6.51500000,-6.51500000,,-6.07525353,-6.07525353,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
98,ClC(Cl)Cl,Chloroform,1,-4.35200000,-4.35200000,-4.35200000,-4.35200000,,-4.87644390,-4.87644390,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
