Variability_Rank,Compound_Name,Canonical_SMILES,SMILES_Values,All_Measurements,Selected_Measurements,Excluded_Measurements,Selection_Coverage_Percent,Variability_Band,Experimental_All_Min,Experimental_All_Max,Experimental_All_Mean,Experimental_All_Median,Experimental_All_SD,Experimental_All_IQR,Experimental_All_Range,Experimental_All_Fold_Range_Kp,Experimental_Selected_Min,Experimental_Selected_Max,Experimental_Selected_Mean,Experimental_Selected_Median,Experimental_Selected_SD,Experimental_Selected_IQR,Experimental_Selected_Range,Prediction_All_Min,Prediction_All_Max,Prediction_All_Mean,Prediction_All_Median,Prediction_All_SD,Prediction_All_IQR,Prediction_All_Range,Prediction_All_Unique_Count,Prediction_Selected_Min,Prediction_Selected_Max,Prediction_Selected_Mean,Prediction_Selected_Median,Prediction_Selected_SD,Prediction_Selected_IQR,Prediction_Selected_Range,Prediction_Selected_Unique_Count,Absolute_Error_Selected_Min,Absolute_Error_Selected_Max,Absolute_Error_Selected_Mean,Condition_Combinations_All,Condition_Combinations_Selected,Donor_Surface_Temperatures_All,Donor_Surface_Temperatures_Selected,References_All,References_Selected,Reference_Count_All,Reference_Count_Selected,DOIs_All,DOIs_Selected,DOI_Count_All,DOI_Count_Selected
123,Flurbiprofen glucoside,CC(C(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,OC1O[C@H](COC(=O)C(c2ccc(c(c2)F)c2ccccc2)C)[C@H]([C@@H]([C@H]1O)O)O,1,1,0,100.00000000,Single measurement,-6.47700000,-6.47700000,-6.47700000,-6.47700000,,0.00000000,0.00000000,1.00000000,-6.47700000,-6.47700000,-6.47700000,-6.47700000,,0.00000000,0.00000000,-6.95449299,-6.95449299,-6.95449299,-6.95449299,,0.00000000,0.00000000,1,-6.95449299,-6.95449299,-6.95449299,-6.95449299,,0.00000000,0.00000000,1,0.47749299,0.47749299,0.47749299,1,1,37,37,"Swart, 2005","Swart, 2005",1,1,10.1016/j.ijpharm.2005.05.030,10.1016/j.ijpharm.2005.05.030,1,1
124,Flurbiprofen mannoside,CC(C(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,OC1O[C@H](COC(=O)C(c2ccc(c(c2)F)c2ccccc2)C)[C@H]([C@@H]([C@@H]1O)O)O,1,1,0,100.00000000,Single measurement,-6.93500000,-6.93500000,-6.93500000,-6.93500000,,0.00000000,0.00000000,1.00000000,-6.93500000,-6.93500000,-6.93500000,-6.93500000,,0.00000000,0.00000000,-6.95449299,-6.95449299,-6.95449299,-6.95449299,,0.00000000,0.00000000,1,-6.95449299,-6.95449299,-6.95449299,-6.95449299,,0.00000000,0.00000000,1,0.01949299,0.01949299,0.01949299,1,1,37,37,"Swart, 2005","Swart, 2005",1,1,10.1016/j.ijpharm.2005.05.030,10.1016/j.ijpharm.2005.05.030,1,1
125,Hydrocortisone 21-(6-hydroxyhexanoate),C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCO,OCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,1,1,0,100.00000000,Single measurement,-6.59700000,-6.59700000,-6.59700000,-6.59700000,,0.00000000,0.00000000,1.00000000,-6.59700000,-6.59700000,-6.59700000,-6.59700000,,0.00000000,0.00000000,-6.71935638,-6.71935638,-6.71935638,-6.71935638,,0.00000000,0.00000000,1,-6.71935638,-6.71935638,-6.71935638,-6.71935638,,0.00000000,0.00000000,1,0.12235638,0.12235638,0.12235638,1,1,37,37,"Anderson, 1988","Anderson, 1988",1,1,10.1023/a:1015989929342,10.1023/a:1015989929342,1,1
126,Hydrocortisone 21-Hemipimelate,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O,OC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,1,1,0,100.00000000,Single measurement,-6.30100000,-6.30100000,-6.30100000,-6.30100000,,0.00000000,0.00000000,1.00000000,-6.30100000,-6.30100000,-6.30100000,-6.30100000,,0.00000000,0.00000000,-6.50477122,-6.50477122,-6.50477122,-6.50477122,,0.00000000,0.00000000,1,-6.50477122,-6.50477122,-6.50477122,-6.50477122,,0.00000000,0.00000000,1,0.20377122,0.20377122,0.20377122,1,1,37,37,"Anderson, 1988","Anderson, 1988",1,1,10.1023/a:1015989929342,10.1023/a:1015989929342,1,1
127,Hydrocortisone 21-Hemisuccinate,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,OC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,1,1,0,100.00000000,Single measurement,-6.75700000,-6.75700000,-6.75700000,-6.75700000,,0.00000000,0.00000000,1.00000000,-6.75700000,-6.75700000,-6.75700000,-6.75700000,,0.00000000,0.00000000,-6.81021015,-6.81021015,-6.81021015,-6.81021015,,0.00000000,0.00000000,1,-6.81021015,-6.81021015,-6.81021015,-6.81021015,,0.00000000,0.00000000,1,0.05321015,0.05321015,0.05321015,1,1,37,37,"Anderson, 1988","Anderson, 1988",1,1,10.1023/a:1015989929342,10.1023/a:1015989929342,1,1
128,Hydrocortisone 21-methylpimelate,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,1,1,0,100.00000000,Single measurement,-5.82400000,-5.82400000,-5.82400000,-5.82400000,,0.00000000,0.00000000,1.00000000,-5.82400000,-5.82400000,-5.82400000,-5.82400000,,0.00000000,0.00000000,-6.08230331,-6.08230331,-6.08230331,-6.08230331,,0.00000000,0.00000000,1,-6.08230331,-6.08230331,-6.08230331,-6.08230331,,0.00000000,0.00000000,1,0.25830331,0.25830331,0.25830331,1,1,37,37,"Anderson, 1988","Anderson, 1988",1,1,10.1023/a:1015989929342,10.1023/a:1015989929342,1,1
129,Hydrocortisone 21-pimelamate,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(N)=O,NC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,1,1,0,100.00000000,Single measurement,-6.60700000,-6.60700000,-6.60700000,-6.60700000,,0.00000000,0.00000000,1.00000000,-6.60700000,-6.60700000,-6.60700000,-6.60700000,,0.00000000,0.00000000,-6.56401622,-6.56401622,-6.56401622,-6.56401622,,0.00000000,0.00000000,1,-6.56401622,-6.56401622,-6.56401622,-6.56401622,,0.00000000,0.00000000,1,0.04298378,0.04298378,0.04298378,1,1,37,37,"Anderson, 1988","Anderson, 1988",1,1,10.1023/a:1015989929342,10.1023/a:1015989929342,1,1
130,Hydroxypregnenolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=O)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CCC(C2)(O)O,1,1,0,100.00000000,Single measurement,-6.77800000,-6.77800000,-6.77800000,-6.77800000,,0.00000000,0.00000000,1.00000000,-6.77800000,-6.77800000,-6.77800000,-6.77800000,,0.00000000,0.00000000,-6.63788229,-6.63788229,-6.63788229,-6.63788229,,0.00000000,0.00000000,1,-6.63788229,-6.63788229,-6.63788229,-6.63788229,,0.00000000,0.00000000,1,0.14011771,0.14011771,0.14011771,1,1,26,26,"Scheuplein, 1969","Scheuplein, 1969",1,1,10.1038/jid.1969.9,10.1038/jid.1969.9,1,1
131,Ibuprofen glucoside,CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)cc1,CC(Cc1ccc(cc1)C(C(=O)OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O)C)C,1,1,0,100.00000000,Single measurement,-6.94500000,-6.94500000,-6.94500000,-6.94500000,,0.00000000,0.00000000,1.00000000,-6.94500000,-6.94500000,-6.94500000,-6.94500000,,0.00000000,0.00000000,-7.07021411,-7.07021411,-7.07021411,-7.07021411,,0.00000000,0.00000000,1,-7.07021411,-7.07021411,-7.07021411,-7.07021411,,0.00000000,0.00000000,1,0.12521411,0.12521411,0.12521411,1,1,37,37,"Swart, 2005","Swart, 2005",1,1,10.1016/j.ijpharm.2005.05.030,10.1016/j.ijpharm.2005.05.030,1,1
132,Ibuprofen mannoside,CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,CC(Cc1ccc(cc1)C(C(=O)OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O)C)C,1,1,0,100.00000000,Single measurement,-6.54800000,-6.54800000,-6.54800000,-6.54800000,,0.00000000,0.00000000,1.00000000,-6.54800000,-6.54800000,-6.54800000,-6.54800000,,0.00000000,0.00000000,-7.07021411,-7.07021411,-7.07021411,-7.07021411,,0.00000000,0.00000000,1,-7.07021411,-7.07021411,-7.07021411,-7.07021411,,0.00000000,0.00000000,1,0.52221411,0.52221411,0.52221411,1,1,37,37,"Swart, 2005","Swart, 2005",1,1,10.1016/j.ijpharm.2005.05.030,10.1016/j.ijpharm.2005.05.030,1,1
133,Isoquinoline,c1ccc2cnccc2c1,c1ccc2c(c1)cncc2,1,1,0,100.00000000,Single measurement,-5.33200000,-5.33200000,-5.33200000,-5.33200000,,0.00000000,0.00000000,1.00000000,-5.33200000,-5.33200000,-5.33200000,-5.33200000,,0.00000000,0.00000000,-5.14616952,-5.14616952,-5.14616952,-5.14616952,,0.00000000,0.00000000,1,-5.14616952,-5.14616952,-5.14616952,-5.14616952,,0.00000000,0.00000000,1,0.18583048,0.18583048,0.18583048,1,1,30,30,"Hadgraft, 1987","Hadgraft, 1987",1,1,10.1016/0378-5173(87)90210-9,10.1016/0378-5173(87)90210-9,1,1
134,Ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,1,1,0,100.00000000,Single measurement,-5.79900000,-5.79900000,-5.79900000,-5.79900000,,0.00000000,0.00000000,1.00000000,-5.79900000,-5.79900000,-5.79900000,-5.79900000,,0.00000000,0.00000000,-5.80337992,-5.80337992,-5.80337992,-5.80337992,,0.00000000,0.00000000,1,-5.80337992,-5.80337992,-5.80337992,-5.80337992,,0.00000000,0.00000000,1,0.00437992,0.00437992,0.00437992,1,1,32,32,"Roy, 1995","Roy, 1995",1,1,10.1002/jps.2600841010,10.1002/jps.2600841010,1,1
135,Linolenic acid,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,1,1,0,100.00000000,Single measurement,-5.98800000,-5.98800000,-5.98800000,-5.98800000,,0.00000000,0.00000000,1.00000000,-5.98800000,-5.98800000,-5.98800000,-5.98800000,,0.00000000,0.00000000,-6.12148904,-6.12148904,-6.12148904,-6.12148904,,0.00000000,0.00000000,1,-6.12148904,-6.12148904,-6.12148904,-6.12148904,,0.00000000,0.00000000,1,0.13348904,0.13348904,0.13348904,1,1,,,"Buist, 2010","Buist, 2010",1,1,10.1016/j.yrtph.2010.02.008,10.1016/j.yrtph.2010.02.008,1,1
136,Meperidine,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,CCOC(=O)C1(CCN(CC1)C)c1ccccc1,1,1,0,100.00000000,Single measurement,-5.98800000,-5.98800000,-5.98800000,-5.98800000,,0.00000000,0.00000000,1.00000000,-5.98800000,-5.98800000,-5.98800000,-5.98800000,,0.00000000,0.00000000,-5.44898389,-5.44898389,-5.44898389,-5.44898389,,0.00000000,0.00000000,1,-5.44898389,-5.44898389,-5.44898389,-5.44898389,,0.00000000,0.00000000,1,0.53901611,0.53901611,0.53901611,1,1,37,37,"Roy, 1989","Roy, 1989",1,1,10.1023/A:1015944018555,10.1023/A:1015944018555,1,1
137,Methyl 4-hydroxyphenylacetate,COC(=O)Cc1ccc(O)cc1,COC(=O)Cc1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-5.25500000,-5.25500000,-5.25500000,-5.25500000,,0.00000000,0.00000000,1.00000000,-5.25500000,-5.25500000,-5.25500000,-5.25500000,,0.00000000,0.00000000,-5.22950239,-5.22950239,-5.22950239,-5.22950239,,0.00000000,0.00000000,1,-5.22950239,-5.22950239,-5.22950239,-5.22950239,,0.00000000,0.00000000,1,0.02549761,0.02549761,0.02549761,1,1,,,"Anderson, 1989","Anderson, 1989",1,1,10.1111/1523-1747.ep12277592,10.1111/1523-1747.ep12277592,1,1
138,Methyl salicylate,COC(=O)c1ccccc1O,COC(=O)c1ccccc1O,1,1,0,100.00000000,Single measurement,-5.00000000,-5.00000000,-5.00000000,-5.00000000,,0.00000000,0.00000000,1.00000000,-5.00000000,-5.00000000,-5.00000000,-5.00000000,,0.00000000,0.00000000,-4.99743923,-4.99743923,-4.99743923,-4.99743923,,0.00000000,0.00000000,1,-4.99743923,-4.99743923,-4.99743923,-4.99743923,,0.00000000,0.00000000,1,0.00256077,0.00256077,0.00256077,1,1,32,32,"Zhang, 2009","Zhang, 2009",1,1,10.1007/s11095-009-9912-4,10.1007/s11095-009-9912-4,1,1
139,Methyltriglycol nicotinate,COCCOCCOCCOC(=O)c1cccnc1,COCCOCCOCCOC(=O)c1cccnc1,1,1,0,100.00000000,Single measurement,-7.30800000,-7.30800000,-7.30800000,-7.30800000,,0.00000000,0.00000000,1.00000000,-7.30800000,-7.30800000,-7.30800000,-7.30800000,,0.00000000,0.00000000,-6.72116789,-6.72116789,-6.72116789,-6.72116789,,0.00000000,0.00000000,1,-6.72116789,-6.72116789,-6.72116789,-6.72116789,,0.00000000,0.00000000,1,0.58683211,0.58683211,0.58683211,1,1,37,37,"Dalpozzo, 1991","Dalpozzo, 1991",1,1,10.1002/jps.2600800114,10.1002/jps.2600800114,1,1
140,Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,COCCc1ccc(cc1)OCC(CNC(C)C)O,1,1,0,100.00000000,Single measurement,-6.63700000,-6.63700000,-6.63700000,-6.63700000,,0.00000000,0.00000000,1.00000000,-6.63700000,-6.63700000,-6.63700000,-6.63700000,,0.00000000,0.00000000,-6.67244401,-6.67244401,-6.67244401,-6.67244401,,0.00000000,0.00000000,1,-6.67244401,-6.67244401,-6.67244401,-6.67244401,,0.00000000,0.00000000,1,0.03544401,0.03544401,0.03544401,1,1,32,32,"Modamio, 2000","Modamio, 2000",1,1,10.1016/S0378-5173(99)00380-4,10.1016/S0378-5173(99)00380-4,1,1
141,"N4-acetyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",CC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)c(=O)n1,OC[C@H]1O[C@H]([C@H]([C@H]1O)O)n1ccc(nc1=O)NC(=O)C,1,1,0,100.00000000,Single measurement,-6.88900000,-6.88900000,-6.88900000,-6.88900000,,0.00000000,0.00000000,1.00000000,-6.88900000,-6.88900000,-6.88900000,-6.88900000,,0.00000000,0.00000000,-7.46170827,-7.46170827,-7.46170827,-7.46170827,,0.00000000,0.00000000,1,-7.46170827,-7.46170827,-7.46170827,-7.46170827,,0.00000000,0.00000000,1,0.57270827,0.57270827,0.57270827,1,1,32,32,"Legoabe, 2010","Legoabe, 2010",1,1,10.1211/jpp.62.06.0012,10.1211/jpp.62.06.0012,1,1
142,Naphthol,Oc1cccc2ccccc12,Oc1cccc2c1cccc2,1,1,0,100.00000000,Single measurement,-5.14100000,-5.14100000,-5.14100000,-5.14100000,,0.00000000,0.00000000,1.00000000,-5.14100000,-5.14100000,-5.14100000,-5.14100000,,0.00000000,0.00000000,-5.06886304,-5.06886304,-5.06886304,-5.06886304,,0.00000000,0.00000000,1,-5.06886304,-5.06886304,-5.06886304,-5.06886304,,0.00000000,0.00000000,1,0.07213696,0.07213696,0.07213696,1,1,,,"Mitragotri, 2000","Mitragotri, 2000",1,1,10.1023/A:1007547809430,10.1023/A:1007547809430,1,1
143,Naproxen mannoside,COc1ccc2cc([C@H](C)C(=O)OC[C@H]3OC(O)[C@@H](O)[C@@H](O)[C@@H]3O)ccc2c1,COc1ccc2c(c1)ccc(c2)[C@@H](C(=O)OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O)C,1,1,0,100.00000000,Single measurement,-7.70000000,-7.70000000,-7.70000000,-7.70000000,,0.00000000,0.00000000,1.00000000,-7.70000000,-7.70000000,-7.70000000,-7.70000000,,0.00000000,0.00000000,-7.25062739,-7.25062739,-7.25062739,-7.25062739,,0.00000000,0.00000000,1,-7.25062739,-7.25062739,-7.25062739,-7.25062739,,0.00000000,0.00000000,1,0.44937261,0.44937261,0.44937261,1,1,37,37,"Swart, 2005","Swart, 2005",1,1,10.1016/j.ijpharm.2005.05.030,10.1016/j.ijpharm.2005.05.030,1,1
144,Octylparaben,CCCCCCCCOC(=O)c1ccc(O)cc1,CCCCCCCCOC(=O)c1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-5.58800000,-5.58800000,-5.58800000,-5.58800000,,0.00000000,0.00000000,1.00000000,-5.58800000,-5.58800000,-5.58800000,-5.58800000,,0.00000000,0.00000000,-5.50196152,-5.50196152,-5.50196152,-5.50196152,,0.00000000,0.00000000,1,-5.50196152,-5.50196152,-5.50196152,-5.50196152,,0.00000000,0.00000000,1,0.08603848,0.08603848,0.08603848,1,1,,,"Buist, 2010","Buist, 2010",1,1,10.1016/j.yrtph.2010.02.008,10.1016/j.yrtph.2010.02.008,1,1
145,Oleic acid,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCCCC/C=CCCCCCCCC(=O)O,1,1,0,100.00000000,Single measurement,-6.44200000,-6.44200000,-6.44200000,-6.44200000,,0.00000000,0.00000000,1.00000000,-6.44200000,-6.44200000,-6.44200000,-6.44200000,,0.00000000,0.00000000,-6.44835935,-6.44835935,-6.44835935,-6.44835935,,0.00000000,0.00000000,1,-6.44835935,-6.44835935,-6.44835935,-6.44835935,,0.00000000,0.00000000,1,0.00635935,0.00635935,0.00635935,1,1,,,"Buist, 2010","Buist, 2010",1,1,10.1016/j.yrtph.2010.02.008,10.1016/j.yrtph.2010.02.008,1,1
146,Oxprenolol,C=CCOc1ccccc1OCC(O)CNC(C)C,C=CCOc1ccccc1OCC(CNC(C)C)O,1,1,0,100.00000000,Single measurement,-6.36900000,-6.36900000,-6.36900000,-6.36900000,,0.00000000,0.00000000,1.00000000,-6.36900000,-6.36900000,-6.36900000,-6.36900000,,0.00000000,0.00000000,-6.92269288,-6.92269288,-6.92269288,-6.92269288,,0.00000000,0.00000000,1,-6.92269288,-6.92269288,-6.92269288,-6.92269288,,0.00000000,0.00000000,1,0.55369288,0.55369288,0.55369288,1,1,32,32,"Modamio, 2000","Modamio, 2000",1,1,10.1016/S0378-5173(99)00380-4,10.1016/S0378-5173(99)00380-4,1,1
147,Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,1,1,0,100.00000000,Single measurement,-6.90000000,-6.90000000,-6.90000000,-6.90000000,,0.00000000,0.00000000,1.00000000,-6.90000000,-6.90000000,-6.90000000,-6.90000000,,0.00000000,0.00000000,-6.59210686,-6.59210686,-6.59210686,-6.59210686,,0.00000000,0.00000000,1,-6.59210686,-6.59210686,-6.59210686,-6.59210686,,0.00000000,0.00000000,1,0.30789314,0.30789314,0.30789314,1,1,30,30,"Hadgraft, 1987","Hadgraft, 1987",1,1,10.1016/0378-5173(87)90210-9,10.1016/0378-5173(87)90210-9,1,1
148,Phloroglucinol,Oc1cc(O)cc(O)c1,Oc1cc(O)cc(c1)O,1,1,0,100.00000000,Single measurement,-6.06600000,-6.06600000,-6.06600000,-6.06600000,,0.00000000,0.00000000,1.00000000,-6.06600000,-6.06600000,-6.06600000,-6.06600000,,0.00000000,0.00000000,-6.34110713,-6.34110713,-6.34110713,-6.34110713,,0.00000000,0.00000000,1,-6.34110713,-6.34110713,-6.34110713,-6.34110713,,0.00000000,0.00000000,1,0.27510713,0.27510713,0.27510713,1,1,37,37,"du Plessis, 2002","du Plessis, 2002",1,1,10.1016/S0928-0987(02)00085-4,10.1016/S0928-0987(02)00085-4,1,1
149,Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C,1,1,0,100.00000000,Single measurement,-7.90600000,-7.90600000,-7.90600000,-7.90600000,,0.00000000,0.00000000,1.00000000,-7.90600000,-7.90600000,-7.90600000,-7.90600000,,0.00000000,0.00000000,-7.74241974,-7.74241974,-7.74241974,-7.74241974,,0.00000000,0.00000000,1,-7.74241974,-7.74241974,-7.74241974,-7.74241974,,0.00000000,0.00000000,1,0.16358026,0.16358026,0.16358026,1,1,25,25,"Siddiqui, 1989","Siddiqui, 1989",1,1,10.1007/bf01061455,10.1007/bf01061455,1,1
150,Pregnenolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2C(=O)C)C)C1)C,1,1,0,100.00000000,Single measurement,-6.38000000,-6.38000000,-6.38000000,-6.38000000,,0.00000000,0.00000000,1.00000000,-6.38000000,-6.38000000,-6.38000000,-6.38000000,,0.00000000,0.00000000,-6.25904166,-6.25904166,-6.25904166,-6.25904166,,0.00000000,0.00000000,1,-6.25904166,-6.25904166,-6.25904166,-6.25904166,,0.00000000,0.00000000,1,0.12095834,0.12095834,0.12095834,1,1,26,26,"Scheuplein, 1969","Scheuplein, 1969",1,1,10.1038/jid.1969.9,10.1038/jid.1969.9,1,1
151,Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,OC(COc1cccc2c1cccc2)CNC(C)C,1,1,0,100.00000000,Single measurement,-6.30600000,-6.30600000,-6.30600000,-6.30600000,,0.00000000,0.00000000,1.00000000,-6.30600000,-6.30600000,-6.30600000,-6.30600000,,0.00000000,0.00000000,-6.40053786,-6.40053786,-6.40053786,-6.40053786,,0.00000000,0.00000000,1,-6.40053786,-6.40053786,-6.40053786,-6.40053786,,0.00000000,0.00000000,1,0.09453786,0.09453786,0.09453786,1,1,32,32,"Modamio, 2000","Modamio, 2000",1,1,10.1016/S0378-5173(99)00380-4,10.1016/S0378-5173(99)00380-4,1,1
152,Propylparaben,CCCOC(=O)c1ccc(O)cc1,CCCOC(=O)c1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-5.41000000,-5.41000000,-5.41000000,-5.41000000,,0.00000000,0.00000000,1.00000000,-5.41000000,-5.41000000,-5.41000000,-5.41000000,,0.00000000,0.00000000,-5.07893613,-5.07893613,-5.07893613,-5.07893613,,0.00000000,0.00000000,1,-5.07893613,-5.07893613,-5.07893613,-5.07893613,,0.00000000,0.00000000,1,0.33106387,0.33106387,0.33106387,1,1,,,"Buist, 2010","Buist, 2010",1,1,10.1016/j.yrtph.2010.02.008,10.1016/j.yrtph.2010.02.008,1,1
153,Pyrogallol,Oc1cccc(O)c1O,Oc1c(O)cccc1O,1,1,0,100.00000000,Single measurement,-6.36600000,-6.36600000,-6.36600000,-6.36600000,,0.00000000,0.00000000,1.00000000,-6.36600000,-6.36600000,-6.36600000,-6.36600000,,0.00000000,0.00000000,-6.47687365,-6.47687365,-6.47687365,-6.47687365,,0.00000000,0.00000000,1,-6.47687365,-6.47687365,-6.47687365,-6.47687365,,0.00000000,0.00000000,1,0.11087365,0.11087365,0.11087365,1,1,37,37,"du Plessis, 2002","du Plessis, 2002",1,1,10.1016/S0928-0987(02)00085-4,10.1016/S0928-0987(02)00085-4,1,1
154,Raffinose,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O,1,1,0,100.00000000,Single measurement,-8.20800000,-8.20800000,-8.20800000,-8.20800000,,0.00000000,0.00000000,1.00000000,-8.20800000,-8.20800000,-8.20800000,-8.20800000,,0.00000000,0.00000000,-8.06503556,-8.06503556,-8.06503556,-8.06503556,,0.00000000,0.00000000,1,-8.06503556,-8.06503556,-8.06503556,-8.06503556,,0.00000000,0.00000000,1,0.14296444,0.14296444,0.14296444,1,1,37,37,"Peck, 1994","Peck, 1994",1,1,10.1023/A:1018998529283,10.1023/A:1018998529283,1,1
155,Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,1,1,0,100.00000000,Single measurement,-7.12500000,-7.12500000,-7.12500000,-7.12500000,,0.00000000,0.00000000,1.00000000,-7.12500000,-7.12500000,-7.12500000,-7.12500000,,0.00000000,0.00000000,-7.35333303,-7.35333303,-7.35333303,-7.35333303,,0.00000000,0.00000000,1,-7.35333303,-7.35333303,-7.35333303,-7.35333303,,0.00000000,0.00000000,1,0.22833303,0.22833303,0.22833303,1,1,37,37,"Dolezal, 1993","Dolezal, 1993",1,1,10.1023/A:1018914806761,10.1023/A:1018914806761,1,1
156,Toluene,Cc1ccccc1,Cc1ccccc1,1,1,0,100.00000000,Single measurement,-3.63700000,-3.63700000,-3.63700000,-3.63700000,,0.00000000,0.00000000,1.00000000,-3.63700000,-3.63700000,-3.63700000,-3.63700000,,0.00000000,0.00000000,-4.04908362,-4.04908362,-4.04908362,-4.04908362,,0.00000000,0.00000000,1,-4.04908362,-4.04908362,-4.04908362,-4.04908362,,0.00000000,0.00000000,1,0.41208362,0.41208362,0.41208362,1,1,,,"Anderson, 1989","Anderson, 1989",1,1,10.1111/1523-1747.ep12277592,10.1111/1523-1747.ep12277592,1,1
