Compound,SMILES,Experimental_logKp
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.6
Ethyl ether,CCOCC,-1.8
Benzyl bromide,C1=CC=C(C=C1)CBr,-1.89
sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-4.03
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.38
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.82
Sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-4.8
Hydrocortisone-21-hemisuccinate,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,-3.2
HC Red No. 3; 2-(4-Amino-2-nitroanilino)-ethanol,C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,-2.32
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-3.15
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,-4.19
2-phenylethanol,C1=CC=C(C=C1)CCO,-1.26
Heptanol,CCCCCCCO,-1.49
2-Ethylhexyl acrylate,CCCCC(CC)COC(=O)C=C,-2.11
sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-4.36
"2,4-Dichloroacetophenone",C1=CC(=CC=C1C(=O)CCl)Cl,-0.74
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.89
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-1.99
Urea,C(=O)(N)N,-3.95
7-Ethoxycoumarin,CCOC1=CC2=C(C=C1)C=CC(=O)O2,-0.78
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.95
Methylparaben,COC(=O)C1=CC=C(C=C1)O,-1.96
Basic Red 76 (Chloride salt),C[N+](C)(C)C1=CC2=C(C=C1)C=CC(=C2N=NC3=CC=CC=C3OC)O.[Cl-],-2.77
Benzene,C1=CC=CC=C1,-0.95
Naphthol,C1=CC=C2C(=C1)C=CC=C2O,-1.59
Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,-3.44
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.97
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.22
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.92
decanol,CCCCCCCCCCO,-1.9
Urea,C(=O)(N)N,-3.69
Sodium caprate; Decanoic acid soap (C10:0),CCCCCCCCCC(=O)[O-].[Na+],-2.95
Sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-5.28
decanol,CCCCCCCCCCO,-1.8
decanol,CCCCCCCCCCO,-1.75
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.0
acetic acid,CC(=O)O,-2.4
Hydroquinone,C1=CC(=CC=C1O)O,-2.42
butoxyethanol,CCCCOCCO,-2.08
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.16
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.7
"1,2,4-Benzenetriol",C1=CC(=C(C=C1O)O)O,-3.9
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.6
sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-3.1
Aldosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,-4.52
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-3.7
